State,Optimal Action,State Value
"(0, ('H', 'H', 'H', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'L', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'L', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'H', 'L', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'H', 'L', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'H', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'H', 'L', 'H', 'H', 'H'))",7,6.698105180025438
"(0, ('H', 'H', 'L', 'H', 'L', 'H', 'H', 'L'))",7,6.693770453425703
"(0, ('H', 'H', 'L', 'H', 'L', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'H', 'L', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'H', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'H', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'H', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'H', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'L', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'L', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'L', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'L', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'L', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'L', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'L', 'H', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'L', 'H', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'L', 'L', 'H', 'H', 'H'))",7,6.698105180025438
"(0, ('H', 'H', 'L', 'L', 'L', 'H', 'H', 'L'))",7,6.693770453425703
"(0, ('H', 'H', 'L', 'L', 'L', 'H', 'L', 'H'))",7,6.698057632595835
"(0, ('H', 'H', 'L', 'L', 'L', 'H', 'L', 'L'))",7,6.6937229059961
"(0, ('H', 'H', 'L', 'L', 'L', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'L', 'L', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'H', 'L', 'L', 'L', 'L', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'H', 'L', 'L', 'L', 'L', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'H', 'H', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'H', 'H', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'H', 'H', 'L', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'H', 'H', 'L', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'H', 'L', 'H', 'H'))",7,6.698105180031515
"(0, ('H', 'L', 'H', 'H', 'H', 'L', 'H', 'L'))",7,6.69377045343178
"(0, ('H', 'L', 'H', 'H', 'H', 'L', 'L', 'H'))",7,6.698105180031515
