Optimal Policy:
State (1, 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'H', 'H', 'L', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'H', 'H', 'L', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'H', 'L', 'H', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'H', 'L', 'H', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'H', 'L', 'L', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'H', 'L', 'L', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'H', 'H', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'H', 'H', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'H', 'L', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'H', 'L', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'L', 'H', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'L', 'H', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'L', 'L', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'H', 'L', 'L', 'L', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'L', 'H', 'H', 'H', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'L', 'H', 'H', 'H', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'L', 'H', 'H', 'L', 'H'): switch to stock 4
State (1, 'H', 'H', 'H', 'L', 'H', 'H', 'L', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'L', 'H', 'L', 'H', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'L', 'H', 'L', 'H', 'L'): switch to stock 7
State (1, 'H', 'H', 'H', 'L', 'H', 'L', 'L', 'H'): switch to stock 8
State (1, 'H', 'H', 'H', 'L', 'H', 'L', 'L', 'L'): switch to stock 8
State (1, 'H', 'H', 'H', 'L', 'L', 'H', 'H', 'H'): switch to stock 8
